age	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 
<1	48	50	69	53	50	30	43	51	49	56	53	44	49	51
1-4	8	9	7	9	6	8	6	5	7	11	13	2	8	8
5-9	4	8	5	4	5	4	2	6	6	2	3	6	1	5
10-14	4	9	4	8	4	4	4	7	7	7	6	4	4	8
15-19	6	16	10	15	23	10	16	20	24	21	18	15	12	9
20-24	11	23	25	30	23	34	26	18	25	23	39	22	17	20
25-29	17	37	37	36	28	23	27	29	28	39	29	31	33	32
30-34	32	46	47	38	58	38	40	60	50	53	55	41	55	54
35-39	54	68	77	79	76	71	85	77	85	72	80	66	71	67
40-44	69	85	118	116	100	95	92	117	103	104	90	100	95	106
45-49	115	191	189	160	163	157	165	182	155	155	179	160	163	220
50-54	239	279	306	280	278	289	288	232	261	258	260	245	235	376
55-59	361	426	461	381	382	371	345	346	347	358	401	390	381	531
60-64	486	604	562	535	525	512	490	511	494	481	500	469	522	733
65-69	696	857	803	791	732	689	641	695	682	679	685	686	699	1044
70-74	1164	1341	1210	1167	1196	1120	1113	1048	1111	1090	1068	1094	1106	1690
75-79	1535	1724	1612	1474	1445	1358	1305	1338	1255	1325	1366	1373	1397	2179
80-84	2049	2290	2103	1863	1811	1698	1704	1696	1713	1798	1738	1694	1850	2826
85-89	2457	2697	2421	2188	2124	2040	2039	1927	2015	1969	1951	1902	2016	3015
90+	2898	3297	2924	2626	2583	2433	2517	2475	2398	2391	2483	2302	2428	3413
