age	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 
<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15-19	0	0	0	0	0	0	0	0	0	0	0	0	2	2
20-24	0	0	0	0	0	0	0	0	0	0	0	1	1	5
25-29	0	0	0	0	0	0	0	0	0	0	0	1	3	4
30-34	0	0	0	0	0	0	0	0	0	0	0	0	10	8
35-39	0	0	0	0	0	0	0	0	0	0	0	0	8	11
40-44	0	0	0	0	0	0	0	0	0	0	1	1	8	16
45-49	0	0	0	0	0	0	0	0	0	0	0	6	22	56
50-54	0	0	0	0	0	0	0	0	0	0	0	15	33	70
55-59	0	0	0	0	0	0	0	0	0	0	0	12	67	152
60-64	0	0	0	0	0	0	0	0	0	0	3	18	82	201
65-69	0	0	0	0	0	0	0	0	0	0	4	27	116	287
70-74	0	0	0	0	0	0	0	0	0	0	6	34	198	483
75-79	0	0	0	0	0	0	0	0	0	1	2	43	272	649
80-84	0	0	0	0	0	0	0	0	0	2	5	67	320	838
85-89	0	0	0	0	0	0	0	0	0	0	7	84	310	698
90+	0	0	0	0	0	0	0	0	0	1	7	65	252	637
